Titre;descriptif du projet;Nature;Thématiques;Etat de la consultation publique;Type de procédure;Maîtrise d’ouvrage;Auteur;Nom du bureau d’étude;Diffuseur;Date de diffusion;Source;Date avis publication;departement_de_la_prefecture;dateouverture;datefermeture;SIREN
Renouvellement de l'autorisation d'exploitation d'une carrière de calcaire et mise en service d'installations de traitement associées;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société CHEVAL FRERES;Société CHEVAL FRERES;;CGDD - MTES;2016-02-04T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
AMFF;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;AMFF;AMFF;;CGDD - MTES;2013-01-10T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
ICPE CEPIA Scierie industrielle;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;CEPIA;CEPIA;;CGDD - MTES;2008-11-14T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Création d'un ensemble commercial dans la Zone Artisanale Actival à Beaufort en Vallée 49;;Autres;AUTRES;Fermé;Permis de construire;S.C.I FLEUR;S.C.I FLEUR;;CGDD - MTES;2011-04-04T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
"CARRIERE SC 113 MONTREDON ""MONTGRAND""";;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SC 113;SC 113;;CGDD - MTES;2013-01-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Renouvellement et extension de la carrière;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;PIGEON CARRIERE SAS;PIGEON CARRIERE SAS;;CGDD - MTES;2008-09-12T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploiter une plateforme logistique : entrepôt de matières combustibles;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société GSE;Société GSE;;CGDD - MTES;2014-03-13T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation carrière à La Chapelle Saint Aubert;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société HENRY FRERES;Société HENRY FRERES;;CGDD - MTES;2013-02-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
élevage avicole;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC DE LA JULIERE;GAEC DE LA JULIERE;;CGDD - MTES;2010-03-05T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
briqueterie et fabrication d'éléments en terre cuite;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS TERREAL;SAS TERREAL;;CGDD - MTES;2007-05-23T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation pour la SCI les Portes du Roumois à Honguemare-Guenouville et Bosgouët d'exploiter un parc logistique;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCI du Roumois;SCI du Roumois;;CGDD - MTES;2009-09-03T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploiter une cuverie;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;La Cave des vignerons de Buxy;La Cave des vignerons de Buxy;;CGDD - MTES;2013-06-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
stokage biogaz et installation de combustion;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Communauté urbaine de Cherbourg;Communauté urbaine de Cherbourg;;CGDD - MTES;2011-04-15T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploiter un élevage de 157 vaches mixtes, 210 jeunes bovins et veaux, 123 bovins d'engraissement et un stockage de fourrage par le GAEC Grandmougin.;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC Grandmougin;GAEC Grandmougin;;CGDD - MTES;2009-05-12T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'un élevage de volailles;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL NALLET;EARL NALLET;;CGDD - MTES;2010-03-25T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation de poursuivre l'exploitation d'un dépôt de carburant ( ICPE 2012-0072);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société SFDM;Société SFDM;;CGDD - MTES;2014-05-23T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
autorisation d'exploiter une unite de fabrication de feutres industriels;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SA CATENSA FRANCE;SA CATENSA FRANCE;;CGDD - MTES;2009-08-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Centre de valorisation de déchets;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS VANHEEDE FRANCE;SAS VANHEEDE FRANCE;;CGDD - MTES;2008-07-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Création de forage d'eau du Couloubrier au Muy;;Autres;AUTRES;Fermé;Déclaration d'utilité publique (DUP);Syndicat de l'eau du Var Est;Syndicat de l'eau du Var Est;;CGDD - MTES;2013-07-16T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
usine de production de panneaux en bois contreplaqué;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;S.A.S XILOFRANCE;S.A.S XILOFRANCE;;CGDD - MTES;2009-08-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Installation temporaire pilote de traitement des déchets ( ICPE 2007-148);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Solvay SA;Solvay SA;;CGDD - MTES;2013-04-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
ELEVAGE AVICOLE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL BLOND PHILIPPE ET EARL LE PRE DU GUILLEMAY;EARL BLOND PHILIPPE ET EARL LE PRE DU GUILLEMAY;;CGDD - MTES;2013-04-12T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'un établissement de préparation et de conditionnement de vin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;"Société Coopérative Agricole ""Cave du Marmandais""";"Société Coopérative Agricole ""Cave du Marmandais""";;CGDD - MTES;2009-08-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Création d'une carrière de matériaux alluvionnaires ( ICPE 2007-634);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GSM;GSM;;CGDD - MTES;2013-04-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Société SITA OUEST;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société SITA OUEST;Société SITA OUEST;;CGDD - MTES;2016-02-01T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Unité de traitement de DASRI;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SODICOME;SODICOME;;CGDD - MTES;2012-10-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'un écopôle environnemental dans la continuité d'une ISDND;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SITA CENTRE EST;SITA CENTRE EST;;CGDD - MTES;2014-09-09T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Atelier d'héliogravure;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS HELIOS;SAS HELIOS;;CGDD - MTES;2013-03-06T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Station d'épuration - Installation de combustion au biogaz - stokage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Communauté Urbaine de Cherbourg;Communauté Urbaine de Cherbourg;;CGDD - MTES;2013-01-02T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
centrale d'enrobage à chaud au bitume de matériaux routiers;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;S.N.C. CHOLET ENROBES;S.N.C. CHOLET ENROBES;;CGDD - MTES;2008-10-16T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
"Projet d'aménagement du secteur de ""Kérozer""";;Autres;AUTRES;Fermé;Déclaration d'utilité publique (DUP);commune de SAINT AVE;commune de SAINT AVE;;CGDD - MTES;2012-03-16T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'un quai de transfert de déchets ménagers;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;S.M.A.V. (syndicat mixte d'arrondissement de Villeneuve sur Lot);S.M.A.V. (syndicat mixte d'arrondissement de Villeneuve sur Lot);;CGDD - MTES;2009-08-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
unité de méthanisation;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Sage environnement;Sage environnement;;CGDD - MTES;2014-02-07T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Travaux d'élargissement de l'A 71 entre la bifurcation A 10/A 71 Orléans Centre (Nord Loire) et le diffuseur Orléans la Source (Sud Loire) d'aménagement de la bretelle A 10 vers A 71 et d'aménagement de la bifurcation A 10/A 71;;Autres;AUTRES;Fermé;Déclaration d'utilité publique (DUP);Société COFIROUTE;Société COFIROUTE;;CGDD - MTES;2008-05-13T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Station d'épuration - Installation de combustion au biogaz - stokage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Communauté Urbaine de Cherbourg;Communauté Urbaine de Cherbourg;;CGDD - MTES;2013-01-02T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
élevage porcin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCEA BREFFIERE;SCEA BREFFIERE;;CGDD - MTES;2009-06-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'un élevage porcin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL PRIGENT;EARL PRIGENT;;CGDD - MTES;2008-02-14T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'un élevage de vaches laitières;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC de la Marjolaine;GAEC de la Marjolaine;;CGDD - MTES;2009-03-24T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
carrière de grave alluvionnaire;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;S.A. LUC DURAND;S.A. LUC DURAND;;CGDD - MTES;2008-10-21T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
demande d'autorisation d'exploiter une carrière à ciel ouvert de gneiss et ses installations de traitement des matériaux;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL CARRIERES GUIGNARD;SARL CARRIERES GUIGNARD;;CGDD - MTES;2014-01-14T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
société Jacquot - autorisation d'exploiter une unité de production de bonbons de chocolat;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;société Jacquot;société Jacquot;;CGDD - MTES;2012-10-24T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Station d'épuration;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS ELVIR;SAS ELVIR;;CGDD - MTES;2014-03-13T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
autorisation d'exploiter une carrière à Blignicourt;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Carrières Saint Christophe;Carrières Saint Christophe;;CGDD - MTES;2014-01-14T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
société NT BOIS à Aix en Othe - autorisation d'exploiter une scierie;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;société NT BOIS;société NT BOIS;;CGDD - MTES;2012-12-05T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Atelier de découpe de viande;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;HASSENFORDER ET FILS;HASSENFORDER ET FILS;;CGDD - MTES;2008-12-18T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'une installation de traitement de surface;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société PASSIV'EST;Société PASSIV'EST;;CGDD - MTES;2007-05-29T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Plate forme logistique (Hôpital de Troyes - St Julien);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;HOPITAL DE TROYES;HOPITAL DE TROYES;;CGDD - MTES;2009-06-09T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploiter des installations de récupération, tri et stockage de déchets metalliques;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;AP METAL RECYCLAGE;AP METAL RECYCLAGE;;CGDD - MTES;2013-08-02T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
parc éolien;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;IEL EXPOITATION 29;IEL EXPOITATION 29;;CGDD - MTES;2014-09-08T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
société Morgagni Zeimett - autorisation d'exploiter une carrière à Chaserey;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;société Morgagni Zeimett;société Morgagni Zeimett;;CGDD - MTES;2012-10-12T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'une casse automobile à ST GENOU- Société STOCK CARS;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;M. Julien CHAPELAIN, gérant de la société STOCK CARS;M. Julien CHAPELAIN, gérant de la société STOCK CARS;;CGDD - MTES;2008-08-21T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
CHENIL DE MARLY;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;CHENIL DE MARLY;CHENIL DE MARLY;;CGDD - MTES;2014-06-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Carrière - poursuite, extension et approfondissement;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL CARRIERE DU FUT;SARL CARRIERE DU FUT;;CGDD - MTES;2012-09-28T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
RD 809/Aménagement du Chemin des Campelières;;Voirie routière;TRANSPORTS;Fermé;Autre;Conseil Général;Conseil Général;;CGDD - MTES;2012-08-29T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Epandage agricole de boues de STEP - Extension ( ICPE 2007-505);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Papeteries de Clairefontaine;Papeteries de Clairefontaine;;CGDD - MTES;2013-04-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Porcherie - extension - méthanisation - biogaz;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL et GAEC Lemonnier;SARL et GAEC Lemonnier;;CGDD - MTES;2013-04-12T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Arcavi centre de valorisation multi filieres;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;ARCAVI;ARCAVI;;CGDD - MTES;2008-09-01T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Station d'épuration d'Amplepuis Thizy;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Communauté de Communes du Pays d'Amplepuis Thizy;Communauté de Communes du Pays d'Amplepuis Thizy;;CGDD - MTES;2008-01-17T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Unité méthanisation - combustion de biogaz;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC de Trécoeur;GAEC de Trécoeur;;CGDD - MTES;2013-04-12T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
création d'une maternité collective (porcs);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCEA DU QUILLIO;SCEA DU QUILLIO;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Installation de production d'électricité et de chaleur - Régie Municipale d'Electricité;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Régie Municipale d'Electricité à CREUTZWALD;Régie Municipale d'Electricité à CREUTZWALD;;CGDD - MTES;2017-02-03T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
carrière;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;MERCERON CARRIERES;MERCERON CARRIERES;;CGDD - MTES;2013-02-15T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension du plan d'épandage existant soumis à autorisation. Régularisation du nombre de vaches laitières de 32 à 50 et extension de celui-ci à 90;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC LE ROULET;GAEC LE ROULET;;CGDD - MTES;2008-12-04T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
demande d'autorisation d¿exploitater un élevage de volailles;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC D'ENSEFORT;GAEC D'ENSEFORT;;CGDD - MTES;2014-01-14T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
SA MULTILAP Abattoir de Lapins aux HERBIERS;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SA MUTILAP;SA MUTILAP;;CGDD - MTES;2016-04-29T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Contournement Sud Ouest de VICHY;;Voirie routière;TRANSPORTS;Fermé;Déclaration d'utilité publique (DUP);Conseil Général de l'Allier;Conseil Général de l'Allier;;CGDD - MTES;2008-10-01T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'un élevage de volailles;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL BARBEYER FRERES;EARL BARBEYER FRERES;;CGDD - MTES;2014-09-09T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Usine de fabrication de piles et de batteries;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société SAFT;Société SAFT;;CGDD - MTES;2008-08-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Demande d'autorisation de M. David GUELLA à exploiter une installation de stockage, de dépollution et de démpontage de VHU à St-Pierre-de-Chandieu;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Monsieur David GUELLA;Monsieur David GUELLA;;CGDD - MTES;2008-07-24T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
2650 DUP Travaux aménagement ZAC PYRENEES EST BEARN;;Création de ZAC;URBANISME ET CONSTRUCTION;Fermé;Déclaration d'utilité publique (DUP);Communauté de communes OUSSE GABAS;Communauté de communes OUSSE GABAS;;CGDD - MTES;2008-12-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
création d'une plateforme logistique- STOCKOMANI;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;STOK O'MANI;STOK O'MANI;;CGDD - MTES;2008-05-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'un centre de tri et de transfert de déchets ménagers et assimilés;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SIDOMPE;SIDOMPE;;CGDD - MTES;2009-02-05T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
"Arrêté autorisant la sté BARDAT à poursuivre l'exploitation de la carrière à TRIGUERES, lieu-dit ""La Poussetière"" pour 25 ans et mise en service d'une installation mobile de concassage-criblage, d'une installation de transit, rgpt/tri de déchets dangereux";;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL BARDAT;SARL BARDAT;;CGDD - MTES;2016-01-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension de l'exploitation d'une activité de récupération de pièces détachées de VHU, d'une station de montage et dépannage automobiles;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code minier;Société MOOKY AUTOMOBILE;Société MOOKY AUTOMOBILE;;CGDD - MTES;2009-03-05T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
GAEC FRAMLAIT;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC Framlait;GAEC Framlait;;CGDD - MTES;2007-04-25T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Station d'épuration;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS ELVIR;SAS ELVIR;;CGDD - MTES;2014-03-13T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
RENOUVELLEMENT AUTORISATION EXPLOITATION;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;ROUTIERE CHAMBARD;ROUTIERE CHAMBARD;;CGDD - MTES;2016-07-28T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Modification de l'installation de production de froid d'une piste de bobsleigh;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Association BOB LUGE;Association BOB LUGE;;CGDD - MTES;2008-03-19T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Aménagement de la ZA du Taillais;;Création de ZAC;URBANISME ET CONSTRUCTION;Fermé;Déclaration d'utilité publique (DUP);communauté de communes du pays granvillais;communauté de communes du pays granvillais;;CGDD - MTES;2012-10-12T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
renouvellement autorisation et extension carrière;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Sté ROGER MARTIN RHONE ALPES;Sté ROGER MARTIN RHONE ALPES;;CGDD - MTES;2016-07-28T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Porcherie - agrandissement;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;DAVOINE Claude;DAVOINE Claude;;CGDD - MTES;2010-05-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
VHU;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;F. GATT;F. GATT;;CGDD - MTES;2014-10-03T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'une carrière de sable à BRUZ;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société LAFARGE GRANULATS OUEST;Société LAFARGE GRANULATS OUEST;;CGDD - MTES;2013-02-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Régularisation d'une installation de travail et de traitement du bois;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société Mauriennaise du Bois (SOMABO);Société Mauriennaise du Bois (SOMABO);;CGDD - MTES;2008-03-19T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
installations de réfrigération et de compression Expanscience Epernon;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;"Société ""Laboratoires Expanscience";"Société ""Laboratoires Expanscience";;CGDD - MTES;2007-07-24T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
SA SAVONNERIE DE NIMES;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Michel VINDRY;Michel VINDRY;;CGDD - MTES;2009-06-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Stockage récupération déchets de métaux et véhicules hors d'usage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Etablissements MICHELOT;Etablissements MICHELOT;;CGDD - MTES;2009-08-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploiter un atelier de décapage par l'entreprise L HOTE à Juzennecourt;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Entreprise Michel L'HOTE;Entreprise Michel L'HOTE;;CGDD - MTES;2007-06-01T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Production de salades et produits traiteurs;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS GEL MANCHE;SAS GEL MANCHE;;CGDD - MTES;2013-05-07T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Fabrication d'emballages en cellulose;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;OFIC SA ET CIE CELLULOSES DE LA LOIRE;OFIC SA ET CIE CELLULOSES DE LA LOIRE;;CGDD - MTES;2007-04-04T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Projet de centre d'engraissement pour bovins de 1 000 places;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société par Actions Simplifiées (SAS) Alliance Millevaches;Société par Actions Simplifiées (SAS) Alliance Millevaches;;CGDD - MTES;2013-06-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Poursuite de l'exploitation d'installations de préparation de produits alimentaires d'origine végétale et de broyage, concassage de substances végétales de BLEDINA à Villefranche;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;BLEDINA;BLEDINA;;CGDD - MTES;2009-06-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'une blanchisserie industrielle;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Chaîne Thermale du Soleil - Blanchisserie Durance Verdon;Chaîne Thermale du Soleil - Blanchisserie Durance Verdon;;CGDD - MTES;2009-08-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Mise à niveau de la sécurité des Tunnels de l'Autoroute A8 section Nice est à la frontière Italienne;;Autres;AUTRES;Fermé;Autre;ESCOTA;ESCOTA;;CGDD - MTES;2009-02-09T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Parc éolien de St Georges de Rouelley et Ger (6 aérogénérateurs);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Vents d'Oc Energies Renouvelables;Vents d'Oc Energies Renouvelables;;CGDD - MTES;2016-06-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation d'une carrière - société CEMEX Granulats;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société CEMEX Granualts;Société CEMEX Granualts;;CGDD - MTES;2009-09-03T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
